team,result,margin,br,toss,bat,opposition,ground,date
Australia,1.0,5 wicke,42.0,1.0,2.0,England,Melbourne,1971
England,0.0,5 wicke,42.0,1.0,2.0,Australia,Melbourne,1971
England,1.0,6 wicke,35.0,1.0,2.0,Australia,Manchester,1972
Australia,0.0,6 wicke,35.0,1.0,2.0,England,Manchester,1972
Australia,1.0,5 wicke,21.0,1.0,2.0,England,Lord's,1972
England,0.0,5 wicke,21.0,1.0,2.0,Australia,Lord's,1972
England,1.0,2 wicke,21.0,1.0,2.0,Australia,Birmingham,1972
Australia,0.0,2 wicke,21.0,1.0,2.0,England,Birmingham,1972
New Zealand,1.0, 22 run,57.0,1.0,2.0,Pakistan,Christchurch,1973
Pakistan,0.0,22 run,57.0,1.0,2.0,New Zealand,Christchurch,1973
England,1.0,7 wicke,57.0,0.0,2.0,New Zealand,Swansea,1973
New Zealand,0.0, 7 wicke,3.0,1.0,2.0,England,Swansea,1973
England,1.0,1 wicke,3.0,1.0,2.0,New Zealand,Manchester,1973
New Zealand,1.0,1 wicke,3.0,1.0,2.0,England,Manchester,1973
England,1.0,1 wicke,3.0,0.0,2.0,West Indies,Leeds,1973
West Indies,0.0, 1 wicke,76.0,1.0,1.0,England,Leeds,1973
West Indies,1.0, 8 wicke,76.0,1.0,1.0,England,Oval,1973
England,0.0,8 wicke,76.0,1.0,1.0,West Indies,Oval,1973
Australia,1.0,7 wicke,85.0,0.0,2.0,New Zealand,Dunedin,1974
New Zealand,0.0, 7 wicke,23.0,1.0,1.0,Australia,Dunedin,1974
Australia,1.0,31 run,23.0,1.0,1.0,New Zealand,Christchurch,1974
New Zealand,0.0, 31 run,23.0,0.0,2.0,Australia,Christchurch,1974
England,1.0,4 wicke,23.0,0.0,2.0,India,Leeds,1974
India,0.0,4 wicke,23.0,0.0,2.0,England,Leeds,1974
England,1.0,6 wicke,37.0,0.0,2.0,India,Oval,1974
India,0.0,6 wicke,37.0,1.0,1.0,England,Oval,1974
Pakistan,1.0,7 wicke,43.0,1.0,2.0,England,Nottingham,1974
England,0.0,7 wicke,43.0,1.0,2.0,Pakistan,Nottingham,1974
Pakistan,1.0,8 wicke,102.0,1.0,2.0,England,Birmingham,1974
England,0.0,8 wicke,102.0,1.0,2.0,Pakistan,Birmingham,1974
England,1.0,3 wicke,23.0,1.0,2.0,Australia,Melbourne,1975
Australia,0.0,3 wicke,23.0,1.0,2.0,England,Melbourne,1975
England,1.0,202 run,181.0,1.0,2.0,New Zealand,Dunedin,1975
New Zealand,1.0,202 run,181.0,1.0,2.0,England,Dunedin,1975
England,1.0,202 run,181.0,1.0,1.0,New Zealand,Wellington,1975
New Zealand,1.0,202 run,181.0,1.0,1.0,England,Wellington,1975
England,1.0,202 run,181.0,1.0,1.0,India,Lord's,1975
India,0.0,202 run,181.0,0.0,2.0,England,Lord's,1975
New Zealand,1.0, 181 run,181.0,1.0,1.0,East Africa,Birmingham,1975
East Africa,0.0, 181 run,181.0,0.0,2.0,New Zealand,Birmingham,1975
Australia,1.0,73 run,181.0,1.0,1.0,Pakistan,Leeds,1975
Pakistan,0.0,73 run,181.0,0.0,2.0,Australia,Leeds,1975
West Indies,1.0, 9 wicke,181.0,0.0,1.0,Sri Lanka,Manchester,1975
Sri Lanka,0.0, 9 wicke,181.0,0.0,1.0,West Indies,Manchester,1975
England,1.0,80 run,181.0,0.0,1.0,New Zealand,Nottingham,1975
New Zealand,0.0, 80 run,181.0,0.0,2.0,England,Nottingham,1975
India,1.0,10 wicke,181.0,0.0,2.0,East Africa,Leeds,1975
East Africa,0.0, 10 wicke,2.0,1.0,2.0,India,Leeds,1975
Australia,1.0,52 run,2.0,1.0,2.0,Sri Lanka,Oval,1975
Sri Lanka,0.0, 52 run,2.0,1.0,2.0,Australia,Oval,1975
West Indies,1.0, 1 wicke,2.0,1.0,1.0,Pakistan,Birmingham,1975
Pakistan,0.0,1 wicke,2.0,1.0,1.0,West Indies,Birmingham,1975
England,1.0,196 run,7.0,0.0,1.0,East Africa,Birmingham,1975
East Africa,0.0, 196 run,7.0,1.0,1.0,England,Birmingham,1975
New Zealand,1.0, 4 wicke,7.0,1.0,1.0,India,Manchester,1975
India,0.0,4 wicke,7.0,1.0,1.0,New Zealand,Manchester,1975
West Indies,1.0, 7 wicke,84.0,0.0,1.0,Australia,Oval,1975
Australia,0.0,7 wicke,84.0,0.0,1.0,West Indies,Oval,1975
Pakistan,1.0,192 run,188.0,0.0,1.0,Sri Lanka,Nottingham,1975
Sri Lanka,0.0, 192 run,188.0,1.0,2.0,Pakistan,Nottingham,1975
Australia,1.0,4 wicke,188.0,1.0,2.0,England,Leeds,1975
England,0.0,4 wicke,188.0,1.0,2.0,Australia,Leeds,1975
West Indies,1.0, 17 run,67.0,1.0,2.0,Australia,Lord's,1975
