team,result,margin,br,toss,bat,opposition,ground,date,url,scrapped_date
Australia,won,5 wicke,42,,,England,Melbourne,1971,https://stats.espncricinfo.com/ci/engine/stats/index.html?class=2;home_or_away=1;home_or_away=2;home_or_away=3;page=1;template=results;type=team;view=results,2021-02-12
England,lost,5 wicke,42,,,Australia,Melbourne,1971,https://stats.espncricinfo.com/ci/engine/stats/index.html?class=2;home_or_away=1;home_or_away=2;home_or_away=3;page=1;template=results;type=team;view=results,2021-02-12
England,won,6 wicke,35,,,Australia,Manchester,1972,https://stats.espncricinfo.com/ci/engine/stats/index.html?class=2;home_or_away=1;home_or_away=2;home_or_away=3;page=1;template=results;type=team;view=results,2021-02-12
Australia,lost,6 wicke,35,,,England,Manchester,1972,https://stats.espncricinfo.com/ci/engine/stats/index.html?class=2;home_or_away=1;home_or_away=2;home_or_away=3;page=1;template=results;type=team;view=results,2021-02-12
Australia,won,5 wicke,21,,,England,Lord's,1972,https://stats.espncricinfo.com/ci/engine/stats/index.html?class=2;home_or_away=1;home_or_away=2;home_or_away=3;page=1;template=results;type=team;view=results,2021-02-12
England,lost,5 wicke,21,,,Australia,Lord's,1972,https://stats.espncricinfo.com/ci/engine/stats/index.html?class=2;home_or_away=1;home_or_away=2;home_or_away=3;page=1;template=results;type=team;view=results,2021-02-12
England,won,2 wicke,21,,,Australia,Birmingham,1972,https://stats.espncricinfo.com/ci/engine/stats/index.html?class=2;home_or_away=1;home_or_away=2;home_or_away=3;page=1;template=results;type=team;view=results,2021-02-12
Australia,lost,2 wicke,21,,,England,Birmingham,1972,https://stats.espncricinfo.com/ci/engine/stats/index.html?class=2;home_or_away=1;home_or_away=2;home_or_away=3;page=1;template=results;type=team;view=results,2021-02-12
New Zealand,won, 22 run,,,,Pakistan,Christchurch,1973,https://stats.espncricinfo.com/ci/engine/stats/index.html?class=2;home_or_away=1;home_or_away=2;home_or_away=3;page=1;template=results;type=team;view=results,2021-02-12
Pakistan,lost,22 run,,won,2nd,New Zealand,Christchurch,1973,https://stats.espncricinfo.com/ci/engine/stats/index.html?class=2;home_or_away=1;home_or_away=2;home_or_away=3;page=1;template=results;type=team;view=results,2021-02-12
England,won,7 wicke,57,lost,2nd,New Zealand,Swansea,1973,https://stats.espncricinfo.com/ci/engine/stats/index.html?class=2;home_or_away=1;home_or_away=2;home_or_away=3;page=1;template=results;type=team;view=results,2021-02-12
New Zealand,lost, 7 wicke,,,,England,Swansea,1973,https://stats.espncricinfo.com/ci/engine/stats/index.html?class=2;home_or_away=1;home_or_away=2;home_or_away=3;page=1;template=results;type=team;view=results,2021-02-12
England,,,,,,New Zealand,Manchester,1973,https://stats.espncricinfo.com/ci/engine/stats/index.html?class=2;home_or_away=1;home_or_away=2;home_or_away=3;page=1;template=results;type=team;view=results,2021-02-12
New Zealand,,,,won,2nd,England,Manchester,1973,https://stats.espncricinfo.com/ci/engine/stats/index.html?class=2;home_or_away=1;home_or_away=2;home_or_away=3;page=1;template=results;type=team;view=results,2021-02-12
England,won,1 wicke,3,lost,2nd,West Indies,Leeds,1973,https://stats.espncricinfo.com/ci/engine/stats/index.html?class=2;home_or_away=1;home_or_away=2;home_or_away=3;page=1;template=results;type=team;view=results,2021-02-12
West Indies,lost, 1 wicke,,,,England,Leeds,1973,https://stats.espncricinfo.com/ci/engine/stats/index.html?class=2;home_or_away=1;home_or_away=2;home_or_away=3;page=1;template=results;type=team;view=results,2021-02-12
West Indies,won, 8 wicke,,,,England,Oval,1973,https://stats.espncricinfo.com/ci/engine/stats/index.html?class=2;home_or_away=1;home_or_away=2;home_or_away=3;page=1;template=results;type=team;view=results,2021-02-12
England,lost,8 wicke,76,won,1st,West Indies,Oval,1973,https://stats.espncricinfo.com/ci/engine/stats/index.html?class=2;home_or_away=1;home_or_away=2;home_or_away=3;page=1;template=results;type=team;view=results,2021-02-12
Australia,won,7 wicke,85,lost,2nd,New Zealand,Dunedin,1974,https://stats.espncricinfo.com/ci/engine/stats/index.html?class=2;home_or_away=1;home_or_away=2;home_or_away=3;page=1;template=results;type=team;view=results,2021-02-12
New Zealand,lost, 7 wicke,,,,Australia,Dunedin,1974,https://stats.espncricinfo.com/ci/engine/stats/index.html?class=2;home_or_away=1;home_or_away=2;home_or_away=3;page=1;template=results;type=team;view=results,2021-02-12
Australia,won,31 run,,won,1st,New Zealand,Christchurch,1974,https://stats.espncricinfo.com/ci/engine/stats/index.html?class=2;home_or_away=1;home_or_away=2;home_or_away=3;page=1;template=results;type=team;view=results,2021-02-12
New Zealand,lost, 31 run,,,,Australia,Christchurch,1974,https://stats.espncricinfo.com/ci/engine/stats/index.html?class=2;home_or_away=1;home_or_away=2;home_or_away=3;page=1;template=results;type=team;view=results,2021-02-12
England,won,4 wicke,23,,,India,Leeds,1974,https://stats.espncricinfo.com/ci/engine/stats/index.html?class=2;home_or_away=1;home_or_away=2;home_or_away=3;page=1;template=results;type=team;view=results,2021-02-12
