team,result,margin,br,toss,bat,opposition,ground,date,url,scrapped_date
Australia,won,5 wickets,42,42,won,England,Melbourne,1971,https://stats.espncricinfo.com/ci/engine/stats/index.html?class=2;home_or_away=1;home_or_away=2;home_or_away=3;page=1;template=results;type=team;view=results,2021-02-12
England,lost,5 wickets,42,42,lost,Australia,Melbourne,1971,https://stats.espncricinfo.com/ci/engine/stats/index.html?class=2;home_or_away=1;home_or_away=2;home_or_away=3;page=1;template=results;type=team;view=results,2021-02-12
England,won,6 wickets,35,35,lost,Australia,Manchester,1972,https://stats.espncricinfo.com/ci/engine/stats/index.html?class=2;home_or_away=1;home_or_away=2;home_or_away=3;page=1;template=results;type=team;view=results,2021-02-12
Australia,lost,6 wickets,35,35,won,England,Manchester,1972,https://stats.espncricinfo.com/ci/engine/stats/index.html?class=2;home_or_away=1;home_or_away=2;home_or_away=3;page=1;template=results;type=team;view=results,2021-02-12
Australia,won,5 wickets,21,21,won,England,Lord's,1972,https://stats.espncricinfo.com/ci/engine/stats/index.html?class=2;home_or_away=1;home_or_away=2;home_or_away=3;page=1;template=results;type=team;view=results,2021-02-12
England,lost,5 wickets,21,21,lost,Australia,Lord's,1972,https://stats.espncricinfo.com/ci/engine/stats/index.html?class=2;home_or_away=1;home_or_away=2;home_or_away=3;page=1;template=results;type=team;view=results,2021-02-12
England,won,2 wickets,21,21,won,Australia,Birmingham,1972,https://stats.espncricinfo.com/ci/engine/stats/index.html?class=2;home_or_away=1;home_or_away=2;home_or_away=3;page=1;template=results;type=team;view=results,2021-02-12
Australia,lost,2 wickets,21,21,lost,England,Birmingham,1972,https://stats.espncricinfo.com/ci/engine/stats/index.html?class=2;home_or_away=1;home_or_away=2;home_or_away=3;page=1;template=results;type=team;view=results,2021-02-12
New,Zealand,won 22,runs,runs,lost,Pakistan,Christchurch,1973,https://stats.espncricinfo.com/ci/engine/stats/index.html?class=2;home_or_away=1;home_or_away=2;home_or_away=3;page=1;template=results;type=team;view=results,2021-02-12
Pakistan,lost,22 runs,won,won,2nd,Zealand,Christchurch,1973,https://stats.espncricinfo.com/ci/engine/stats/index.html?class=2;home_or_away=1;home_or_away=2;home_or_away=3;page=1;template=results;type=team;view=results,2021-02-12
